TestCaseReference,4_6_Gloss_NextDay,4_6_Gloss_Hour,4_6_Matte_NextDay,4_6_Matte_Hour,5_7_Gloss_NextDay,5_7_Gloss_Hour,5_7_Matte_NextDay,5_7_Matte_Hour,8_10_Gloss_NextDay,8_10_Gloss_Hour,8_10_Matte_NextDay,8_10_Matte_Hour,Discount Code,Expected_Total
HOTC_87,0,0,0,65,0,0,0,0,0,0,0,0, ,11.6
HOTC_88,0,0,0,75,0,0,0,0,0,0,0,0, ,13
HOTC_89,0,0,0,76,0,0,0,0,0,0,0,0, ,13.12
HOTC_90,0,0,0,85,0,0,0,0,0,0,0,0, ,14.2
HOTC_91,0,0,0,100,0,0,0,0,0,0,0,0,N56M2,14
HOTC_92,0,0,0,101,0,0,0,0,0,0,0,0, ,0
HOTC_93,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_94,0,0,0,0,0,1,0,0,0,0,0,0, ,1.34
HOTC-95,0,0,0,0,0,25,0,0,0,0,0,0, ,9.5
HOTC_96,0,0,0,0,0,50,0,0,0,0,0,0, ,18
HOTC_97,0,0,0,0,0,51,0,0,0,0,0,0, ,18.31
HOTC_98,0,0,0,0,0,60,0,0,0,0,0,0, ,21.1
HOTC_99,0,0,0,0,0,61,0,0,0,0,0,0, ,21.91
HOTC_100,0,0,0,0,0,65,0,0,0,0,0,0, ,23.15
HOTC_101,0,0,0,0,0,75,0,0,0,0,0,0, ,26.25
HOTC_102,0,0,0,0,0,76,0,0,0,0,0,0, ,26.53
HOTC_103,0,0,0,0,0,85,0,0,0,0,0,0, ,29.05
HOTC_104,0,0,0,0,0,100,0,0,0,0,0,0,N56M2,31.25
HOTC_105,0,0,0,0,0,101,0,0,0,0,0,0, ,0
HOTC_106,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_107,0,0,0,0,0,0,0,1,0,0,0,0, ,1.37
HOTC_108,0,0,0,0,0,0,0,25,0,0,0,0, ,10.25
HOTC_109,0,0,0,0,0,0,0,50,0,0,0,0, ,19.5
HOTC_110,0,0,0,0,0,0,0,51,0,0,0,0, ,19.84
HOTC_111,0,0,0,0,0,0,0,60,0,0,0,0, ,22.9
HOTC_112,0,0,0,0,0,0,0,61,0,0,0,0, ,23.74
HOTC_113,0,0,0,0,0,0,0,65,0,0,0,0, ,25.1
HOTC_114,0,0,0,0,0,0,0,75,0,0,0,0, ,28.5
HOTC_115,0,0,0,0,0,0,0,76,0,0,0,0, ,28.81
HOTC_116,0,0,0,0,0,0,0,85,0,0,0,0, ,31.6
HOTC_117,0,0,0,0,0,0,0,100,0,0,0,0,N56M2,34.25
HOTC_118,0,0,0,0,0,0,0,101,0,0,0,0, ,0
HOTC_119,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_120,0,0,0,0,0,0,0,0,0,1,0,0, ,1.68
HOTC_121,0,0,0,0,0,0,0,0,0,25,0,0, ,18
HOTC_122,0,0,0,0,0,0,0,0,0,50,0,0, ,35
HOTC_123,0,0,0,0,0,0,0,0,0,51,0,0, ,33.86
HOTC_124,0,0,0,0,0,0,0,0,0,60,0,0, ,39.33
HOTC_125,0,0,0,0,0,0,0,0,0,61,0,0, ,40.41
HOTC_126,0,0,0,0,0,0,0,0,0,65,0,0, ,42.85
HOTC_127,0,0,0,0,0,0,0,0,0,75,0,0, ,48.93
HOTC_128,0,0,0,0,0,0,0,0,0,76,0,0, ,49.50
HOTC_129,0,0,0,0,0,0,0,0,0,85,0,0, ,54.63
HOTC_130,0,0,0,0,0,0,0,0,0,100,0,0,N56M2,63.18
HOTC_131,0,0,0,0,0,0,0,0,0,101,0,0, ,0
HOTC_132,0,0,0,0,0,0,0,0,0,0,0,0, ,0
HOTC_133,0,0,0,0,0,0,0,0,0,0,0,1, ,1.72
HOTC_134,0,0,0,0,0,0,0,0,0,0,0,25, ,19
HOTC_135,0,0,0,0,0,0,0,0,0,0,0,50, ,35.15
HOTC_136,0,0,0,0,0,0,0,0,0,0,0,51, ,35.80
HOTC_137,0,0,0,0,0,0,0,0,0,0,0,60, ,41.61
HOTC_138,0,0,0,0,0,0,0,0,0,0,0,61, ,42.73
HOTC_139,0,0,0,0,0,0,0,0,0,0,0,65, ,45.32
HOTC_140,0,0,0,0,0,0,0,0,0,0,0,75, ,51.78
HOTC_141,0,0,0,0,0,0,0,0,0,0,0,76, ,52.38
HOTC_142,0,0,0,0,0,0,0,0,0,0,0,85, ,57.86
HOTC_143,0,0,0,0,0,0,0,0,0,0,0,100,N56M2,66.98
HOTC_144,0,0,0,0,0,0,0,0,0,0,0,101, ,0
